

从截图看到，LogGroup命名规则是`/ecs/{env}_{APIKEY}_cmpf_service_{面}`（service/splitter），以及`/ecs/{env}_{channel}_channeladapter_{面}`（channeladapter），还有共通的channelreceiver/batch。补充为R-45~R-47。

## R-45: CloudWatch LogGroup 新規

| 列 | 内容 |
|---|---|
| パターンID | R-45 |
| リソース | ・/ecs/{ENV}_{APIKEY}_cmpf_service_{A｜B}<br>・/ecs/{ENV}_{APIKEY}_cmpf_splitter_{A｜B}<br>・/ecs/{ENV}_{channel}_channeladapter_{A｜B}<br>・/ecs/{ENV}_cmpf_channelreceiver_{A｜B}<br>・/ecs/{ENV}_cmpf_batch_{A｜B} |
| 面区分 | A/B |
| 改修パターン | 新規 |
| 変更内容の詳細 | 新規ECSサービス（クライアント追加・チャネル追加等）に伴い、当該サービス用のLogGroupを新規作成する。 |
| 考慮事項 | ①命名規則（/ecs/{ENV}_{APIKEY}_cmpf_service_{A｜B}等）に従うこと<br>②ログ保持期間（Retention）の初期設定が運用基準と整合していること<br>③対応するECSタスク定義のlogConfigurationと正しく紐付いていること |
| 無停止可否 | 可 |
| 理由・前提条件 | LogGroupの新規作成自体はログ出力先の設定であり、既存のリクエスト処理には影響を与えないため。ただし、ECSサービス本体（R-03等）と同一Stack内でデプロイされる必要がある。 |
| 連動関係 | ※本パターンは通常、クライアント追加（R-03）・チャネル追加等のECSサービス新規パターンと同一Stack内で連動して発生する。 |

## R-46: CloudWatch LogGroup 改修

| 列 | 内容 |
|---|---|
| パターンID | R-46 |
| リソース | 同上 |
| 面区分 | A/B |
| 改修パターン | 改修 |
| 変更内容の詳細 | ログ保持期間（Retention）の変更、ログレベル出力設定変更等に伴うLogGroup設定変更。 |
| 考慮事項 | ①保持期間変更が既存ログ運用ルール・コスト方針と整合していること<br>②他リソースからの参照（サブスクリプションフィルタ等）に影響がないこと |
| 無停止可否 | 可 |
| 理由・前提条件 | LogGroupの設定変更はログ出力先の属性変更であり、業務処理には影響しないため。 |

## R-47: CloudWatch LogGroup 削除

| 列 | 内容 |
|---|---|
| パターンID | R-47 |
| リソース | 同上 |
| 面区分 | A/B |
| 改修パターン | 削除 |
| 変更内容の詳細 | クライアント削除・チャネル削除等に伴い、当該ECSサービス用のLogGroupを削除する。 |
| 考慮事項 | ①削除前に必要なログが別途アーカイブ・エクスポートされていること<br>②他リソースから当該LogGroupへの参照が残存していないこと |
| 無停止可否 | 可 |
| 理由・前提条件 | LogGroup削除はログ格納先の削除であり、既存の業務処理（他クライアント・他サービス）には影響しないため。 |
| 連動関係 | ※本パターンは通常、クライアント削除（R-04）・チャネル削除等のECSサービス削除パターンと同一Stack内で連動して発生する。 |

## 需要确认的点

1. **mock_api_gateway行**——表里标注的是`共通`面区分、`codebuild`创建（不是CDK），这条应该**排除**在R-45~47之外，对吧？
2. **channelreceiver/batch**——这两个是`共通`性质的服务（不随APIKEY变化），它们的LogGroup新規/削除是否只会随"服务本体新規/削除"发生，而不会随クライアント追加/削除联动？还是也需要单独说明？
3. 目前Alarm（R-39）、Dashboard（R-43/44）、LogGroup（R-45/46/47）这三类资源，是否要整理成一张"クライアント追加/削除时连动新規/削除的リソース一覧"汇总表，方便后续给ECS服务改修パターン（R-03/R-04）做交叉引用？



































